JobID,Network Id,Existing 035a,Incoming 035a,Action
CEF_1012688_1748084545832::bib::776835,991828962005151,8435185,8435185,match
CEF_1012688_1748084545832::bib::779010,992878942505151,1044180145,1056455848,match
CEF_1012688_1748084545832::bib::77922,994538623005151,896596815,896596815,match
CEF_1012688_1748084545832::bib::781571,992874285905151,402439322,1056456403,match
CEF_1012688_1748084545832::bib::783243,991506597805151,277067473,277067473,match
CEF_1012688_1748084545832::bib::784800,992871346705151,317929311,317929311,match
CEF_1012688_1748084545832::bib::786523,992480207105151,607611060,607611060,match
CEF_1012688_1748084545832::bib::788249,991679774705151,14586783,14586783,match
CEF_1012688_1748084545832::bib::790083,992271489905151,276645336,276645336,match
CEF_1012688_1748084545832::bib::793452,992350304305151,489014458,489014458,match
CEF_1012688_1748084545832::bib::794253,992858269305151,66894209,66894209,match
CEF_1012688_1748084545832::bib::796850,991844126805151,61251280,61251280,match
CEF_1012688_1748084545832::bib::799091,992872379005151,191856225,191856225,match
CEF_1012688_1748084545832::bib::80107,994538622405151,30827864,30827864,match
CEF_1012688_1748084545832::bib::804236,994282535405151,16618445,16618445,match
CEF_1012688_1748084545832::bib::805382,991960569005151,192117645,192117645,match
CEF_1012688_1748084545832::bib::807294,992851934405151,1044125470,1056459158,match
CEF_1012688_1748084545832::bib::809045,992373322905151,123569534,123569534,match
CEF_1012688_1748084545832::bib::811371,991788630805151,319481930,319481930,match
CEF_1012688_1748084545832::bib::814083,992868479005151,511622905,511622905,match
CEF_1012688_1748084545832::bib::815624,992853699705151,1044136196,1056458327,match
CEF_1012688_1748084545832::bib::818637,991948678405151,37026181,37026181,match
CEF_1012688_1748084545832::bib::819871,992472656605151,13008766,13008766,match
CEF_1012688_1748084545832::bib::822132,992231843705151,58451894,58451894,match
CEF_1012688_1748084545832::bib::823265,992231034905151,12973176,12973176,match
CEF_1012688_1748084545832::bib::825825,991690882105151,641530648,641530648,match
CEF_1012688_1748084545832::bib::827650,992852215105151,272567262,272567262,match
CEF_1012688_1748084545832::bib::82812,994538622205151,31438526,31438526,match
CEF_1012688_1748084545832::bib::828852,992865326705151,656133107,656133107,match
